review_id;review;rating
0;slow delivery;1
1;Dateng goods do not conform pesanan??;1
2;PSN k its 20 other DTG;1
3;I am expected that it have a frame and painted in a canvass but sad to note i am very disappointed. It printed like a tarp.! I will not suggest this seller and recommend. So disappointed.;1
4;The product quality is not good.;1
5;goods came really not the same as shown in the description, which is straight all, why ?, I want to reply elbow and straight, it is straight all ... duh ... would diapain again .... alemong deh yey ... what lupita or delivery error or intentional anyway? never mind.   already.  hopefully;1
6;Q order came quickly but im so very disappointed! Larger size n i u dineliver compared before! ???? to order quality 5pcs, 1 or 2 lng ata quality here, some are thin n! Grabe! Nkakainis! Yung skintone, ie those previous order q, please see the size difference between them!;1
7;Aprox 1 bjunyaa;1
8;Send a brown color to black, very sick.;1
9;Did not receive item Will not order again;1
10;Open items have dumbfounded used to look over n years;1
11;The product quality is not good. There is a flaw;1
12;Good product but right ga ga given promises change;1
13;product defects;1
14;Of 5 orders ... motif that BNR's just ... hope next 1?? could ny better lbh;1
15;Item shipped late;1
16;Sandals too little, just like sz 35.36 only. Shop listening but actually seems to be large so k Poor attitude.;1
17;Quality is ok but the size chart is wrong it stated 122 cm bust /chest but it is smaller than expected. I would have to give it away. Shame after waiting for so long. Zipper also very hard to draw up or down. Regret buying from this seller. When I asked before purchase about size he said accurate;1
18;Not to order .... very kecwa ..... very jero jero;1
19;D beautiful packaging so nagcrack nong shipping those items or maybe really crack wrapped in., Kinancel refund because I just hassle. The many requirements. Neremedyo So I crack.d well xa universal.;1
20;Her stuff is nice but it really black color at red .. My right message in yellow at red ..;1
21;produkny writing HRG to 3 pcs, shipped tp cm 1 doang, disappointing :(;1
22;The products do not original.;1
23;Messages are sent only 1, 3 pca complained uncooperative. Chat returned sloww response. kapok;1
24;directly interested order 20pcs. Brang come, teenyata rougher than I imagined. thanks boss;1
25; Product quality is very poor very unnecessary money, choose one template, delivery another form;1
26;Courier J & T expires sanggat disappointed, not in between at the address in our order to then be Nungu his office for hours. Then almost damaged goods. Her cardboard kayak has been 100 years in the life crushed like satay sauce. disappointed sanggat;1
27;Potatoes come already slimy and some slightly blackish;1
28;The product quality is not good;1
